iter	Passed	Remaining
537	1151	988
538	1152	985
539	1153	982
540	1154	979
541	1156	976
542	1157	974
543	1158	971
544	1160	968
545	1161	965
546	1163	963
547	1164	960
548	1166	957
549	1167	955
550	1168	952
551	1169	949
552	1171	946
553	1173	944
554	1175	942
555	1176	939
556	1177	936
557	1179	933
558	1180	931
559	1181	928
560	1182	925
561	1183	922
562	1185	919
563	1186	917
564	1187	914
565	1189	911
566	1190	909
567	1191	906
568	1193	903
569	1194	901
570	1195	898
571	1196	895
572	1198	892
573	1199	890
574	1200	887
575	1201	884
576	1203	881
577	1204	879
578	1205	876
579	1206	873
580	1208	871
581	1209	868
582	1210	866
583	1211	863
584	1213	860
585	1214	857
586	1215	855
587	1217	852
588	1218	850
589	1219	847
590	1221	845
591	1222	842
592	1223	840
593	1225	837
594	1226	834
595	1227	832
596	1228	829
597	1230	827
598	1231	824
599	1232	821
600	1234	819
601	1235	816
602	1236	813
603	1237	811
604	1239	809
605	1240	806
606	1241	803
607	1243	801
608	1244	798
609	1245	796
610	1246	793
611	1247	790
612	1248	788
613	1249	785
614	1251	783
615	1254	781
616	1256	779
617	1257	777
618	1259	775
619	1261	772
620	1262	770
621	1264	768
622	1266	766
623	1268	764
624	1270	762
625	1271	759
626	1273	757
627	1274	755
628	1276	752
629	1277	750
630	1279	748
631	1280	745
632	1282	743
633	1284	741
634	1285	739
635	1287	736
636	1288	734
637	1290	732
638	1291	729
639	1293	727
640	1295	725
641	1296	722
642	1298	720
643	1300	718
644	1301	716
645	1303	714
646	1304	711
647	1306	709
648	1307	707
649	1309	705
650	1311	702
651	1313	700
652	1314	698
653	1316	696
654	1318	694
655	1320	692
656	1321	690
657	1323	687
658	1324	685
659	1326	683
660	1329	681
661	1330	679
662	1332	677
663	1333	674
664	1334	672
665	1336	670
666	1337	667
667	1339	665
668	1340	663
669	1341	660
670	1343	658
671	1344	656
672	1345	653
673	1347	651
674	1348	649
675	1349	646
676	1351	644
677	1352	642
678	1354	640
679	1355	637
680	1356	635
681	1357	633
682	1359	630
683	1360	628
684	1361	626
685	1362	623
686	1363	621
687	1365	619
688	1366	616
689	1367	614
690	1369	612
691	1370	609
692	1371	607
693	1373	605
694	1374	603
695	1376	601
696	1377	598
697	1379	596
698	1381	595
699	1383	592
700	1385	591
701	1387	589
702	1389	587
703	1391	585
704	1394	583
705	1394	580
706	1396	578
707	1398	576
708	1399	574
709	1401	572
710	1403	570
711	1405	568
712	1406	566
713	1408	564
714	1410	562
715	1412	560
716	1414	558
717	1416	556
718	1419	554
719	1421	552
720	1423	550
721	1425	548
722	1427	546
723	1430	545
724	1433	543
725	1435	541
726	1438	540
727	1439	537
728	1441	535
729	1443	533
730	1445	531
731	1447	529
732	1450	528
733	1452	526
734	1454	524
735	1455	522
736	1457	520
737	1459	518
738	1461	516
739	1463	514
740	1465	512
741	1466	510
742	1468	508
743	1470	505
744	1472	503
745	1473	501
746	1475	499
747	1477	497
748	1479	495
749	1481	493
750	1482	491
751	1485	489
752	1487	487
753	1489	485
754	1490	483
755	1492	481
756	1496	480
757	1498	478
758	1502	476
759	1504	475
760	1505	472
761	1507	470
762	1509	468
763	1511	466
764	1513	464
765	1514	462
766	1516	460
767	1517	458
768	1519	456
769	1521	454
770	1522	452
771	1524	450
772	1525	448
773	1527	445
774	1528	443
775	1530	441
776	1531	439
777	1533	437
778	1534	435
779	1536	433
780	1537	431
781	1539	429
782	1540	426
783	1541	424
784	1543	422
785	1544	420
786	1546	418
787	1547	416
788	1549	414
789	1550	412
790	1552	410
791	1553	408
792	1554	405
793	1555	403
794	1557	401
795	1558	399
796	1559	397
797	1560	394
798	1561	392
799	1562	390
800	1563	388
801	1564	386
802	1566	384
803	1567	382
804	1568	379
805	1569	377
806	1570	375
807	1571	373
808	1572	371
809	1573	369
810	1574	366
811	1575	364
812	1576	362
813	1577	360
814	1578	358
815	1579	356
816	1580	354
817	1581	351
818	1582	349
819	1583	347
820	1584	345
821	1585	343
822	1586	341
823	1587	338
824	1587	336
825	1588	334
826	1589	332
827	1590	330
828	1591	328
829	1592	326
830	1593	324
831	1595	322
832	1596	320
833	1597	317
834	1598	315
835	1599	313
836	1600	311
837	1601	309
838	1602	307
839	1603	305
840	1603	303
841	1604	301
842	1605	299
843	1606	296
844	1608	295
845	1609	292
846	1610	290
847	1611	288
848	1612	286
849	1613	284
850	1614	282
851	1615	280
852	1616	278
853	1617	276
854	1618	274
855	1619	272
856	1620	270
857	1622	268
858	1623	266
859	1624	264
860	1626	262
861	1627	260
862	1628	258
863	1629	256
864	1631	254
865	1631	252
866	1632	250
867	1633	248
868	1634	246
869	1635	244
870	1636	242
871	1637	240
872	1639	238
873	1640	236
874	1641	234
875	1642	232
876	1643	230
877	1644	228
878	1645	226
879	1646	224
880	1647	222
881	1648	220
882	1649	218
883	1649	216
884	1650	214
885	1651	212
886	1652	210
887	1654	208
888	1656	206
889	1657	204
890	1658	202
891	1659	200
892	1660	198
893	1661	197
894	1662	195
895	1663	193
896	1664	191
897	1665	189
898	1666	187
899	1667	185
900	1669	183
901	1670	181
902	1671	179
903	1672	177
904	1673	175
905	1674	173
906	1675	171
907	1675	169
908	1676	167
909	1677	165
910	1678	164
911	1679	162
912	1680	160
913	1682	158
914	1683	156
915	1684	154
916	1685	152
917	1686	150
918	1687	148
919	1688	146
920	1689	144
921	1690	143
922	1691	141
923	1692	139
924	1693	137
925	1694	135
926	1695	133
927	1696	131
928	1697	129
929	1698	127
930	1699	125
931	1700	124
932	1701	122
933	1702	120
934	1703	118
935	1704	116
936	1705	114
937	1706	112
938	1707	110
939	1708	109
940	1708	107
941	1710	105
942	1711	103
943	1712	101
944	1713	99
945	1714	97
946	1715	96
947	1716	94
948	1717	92
949	1718	90
950	1719	88
951	1720	86
952	1721	84
953	1722	83
954	1723	81
955	1724	79
956	1725	77
957	1726	75
958	1727	73
959	1728	72
960	1729	70
961	1730	68
962	1731	66
963	1732	64
964	1733	62
965	1734	61
966	1735	59
967	1736	57
968	1737	55
969	1738	53
970	1739	51
971	1740	50
972	1741	48
973	1742	46
974	1744	44
975	1744	42
976	1745	41
977	1746	39
978	1747	37
979	1748	35
980	1749	33
981	1750	32
982	1752	30
983	1753	28
984	1754	26
985	1755	24
986	1756	23
987	1757	21
988	1758	19
989	1759	17
990	1760	15
991	1761	14
992	1762	12
993	1763	10
994	1764	8
995	1765	7
996	1766	5
997	1767	3
998	1768	1
999	1769	0
